Cliente;Cidade;Vendedor;Codigo;Item;Tipo;SubTipo;ItensNovos;Fornecedor;QtdSaida;ValorSaida;ValorEntrada;ValorVenda;ValorIcmsST;ValorIPI;TotalSemImpostos;TotalComImpostos;NFSaida;CFOP;DataSaida;ICMS;TipProdIPI;NSaiStatus;TipoNota;QTD_DIAS_FAT;Qtd_Dias_1;Qtd_Dias_2;Qtd_Dias_3
CRIZAN;JARINU;MARCOS PAULO;338028;BROCA MD D=2.8X33X61 H2.8;BROCA;FURAÇÃO;;HEINZ TOOLS;4;35,83;14;47.432;0;0;143,32;143,32;191;5,405;11/01/2017;;8;0;1;1;28;;
USINAGEM ESTRELA;JUNDIAÍ;MARCOS PAULO;4143970;VDS201A06800 WU25PD D=6.8 3XD SEM REFRI;BROCA;FURAÇÃO;;KENNAMETAL;1;173,64;99,57;364,43;0;0;173,64;173,64;192;5,405;11/01/2017;;8;0;1;1;28;;
USINAGEM ESTRELA;JUNDIAÍ;MARCOS PAULO;4143992;VDS201A08500 WU25PD D=8.5 3XD SEM REFRI;BROCA;FURAÇÃO;;KENNAMETAL;1;196.632;112,76;412,7;0;0;196.632;196.632;192;5,405;11/01/2017;;8;0;1;1;28;;
USINAGEM ESTRELA;JUNDIAÍ;MARCOS PAULO;4144424;VDS201A10200 WU25PD D=10.2 3XD SEM REFRI;BROCA;FURAÇÃO;;KENNAMETAL;1;260.448;149,35;546,62;0;0;260.448;260.448;192;5,405;11/01/2017;;8;0;1;1;28;;
FERRCALD;CAMPO LIMPO PAULISTA;MARCOS PAULO;4120182;TNMX160408-L PA120;INSERTO;TORNEAMENTO;;KENNAMETAL;5;19,64;8,5;36;0;0;98,2;98,2;194;5,102;11/01/2017;;8;0;1;1;28;;
FERRCALD;CAMPO LIMPO PAULISTA;MARCOS PAULO;4173670;TNMP160404 WM25CT;INSERTO;TORNEAMENTO;;KENNAMETAL;9;26.025;17,39;63,65;0;0;234.225;234.225;194;5,102;11/01/2017;;8;0;1;1;28;;
SZ TEC;VINHEDO;MARCOS PAULO;5550906;HNPJ0704ANSNGD WP40PM;INSERTO;FRESAMENTO;;KENNAMETAL;10;58,63;28,31;103,61;0;0;586,3;586,3;195;5,102;11/01/2017;;8;0;1;1;28;;
DIVAMAQ;VINHEDO;ANDERSON FONTES;3101 - 310620;BROCA 6,20MM DIN 338 HSS;BROCA;FURAÇÃO;;GMF;1;46.854;26,03;78,09;0;0;46.854;46.854;196;5,405;11/01/2017;;8;0;1;1;28;;
MECNOPLASTY;VINHEDO;ANDERSON FONTES;680D20Z2;M680D020Z02H19L150 XDMT0903;SUPORTE;FRESAMENTO FLEX;;GCTOOLS;1;10;95;285;0;0;10;10;197;5,102;11/01/2017;;0;0;1;1;28;;
MECNOPLASTY;VINHEDO;ANDERSON FONTES;4041195;XDMT090308-HX PA120;INSERTO;FRESAMENTO;;KENNAMETAL;30;19,5;18;55,44;0;0;585;585;197;5,102;11/01/2017;;8;0;1;1;28;;
TECNOPROD;JUNDIAÍ;MARCOS PAULO;2415793;SEKR1203-AFNMS P120;INSERTO;FRESAMENTO;;KENNAMETAL;10;28,55;22,3;81,62;0;0;285,5;285,5;198;5,102;11/01/2017;;8;0;1;1;28;;
TECNOPROD;JUNDIAÍ;MARCOS PAULO;4120195;TPKR1603-PDRMS PA120;INSERTO;FRESAMENTO FLEX;;KENNAMETAL;10;19,77;13,23;48,45;0;0;197,7;197,7;198;5,102;11/01/2017;;8;0;1;1;28;;
TECNOPROD;JUNDIAÍ;MARCOS PAULO;5826036;40040800T020 RETA 4C 30° D=8X8X50X20;FRESA DE TOPO;FRESAMENTO;;KENNAMETAL;1;74,03;50,47;184,72;0;0;74,03;74,03;198;5,102;11/01/2017;;8;0;1;1;28;;
TECNOPROD;JUNDIAÍ;MARCOS PAULO;5826040;40041000T022 RETA 4C 30° D=10X10X72X22;FRESA DE TOPO;FRESAMENTO;;KENNAMETAL;1;113,5;77,37;283,17;0;0;113,5;113,5;198;5,102;11/01/2017;;8;0;1;1;28;;
TECNOPROD;JUNDIAÍ;MARCOS PAULO;5826043;40041200T025 RETA 4C 30° D=12X12X76X25;FRESA DE TOPO;FRESAMENTO;;KENNAMETAL;1;151;102,94;376,76;0;0;151;151;198;5,102;11/01/2017;;8;0;1;1;28;;
TECNOPROD;JUNDIAÍ;MARCOS PAULO;5366707;VTSPO6523 WP49EG M10 ISO2 (6H) 3F DIN371 B FURO PASSANTE;MACHO;ROSQUEAMENTO;;KENNAMETAL;1;83,76;48,52;177,58;0;0;83,76;83,76;198;5,102;11/01/2017;;8;0;1;1;28;;
JUNDFER;JUNDIAÍ;ANDERSON FONTES;5873416;XNPU15T608SRMM WP40PM;INSERTO;FRESAMENTO;;KENNAMETAL;10;47,5;49,32;180,51;0;0;475;475;199;5,102;11/01/2017;;8;0;1;1;28;;
HAGAR;VINHEDO;ANDERSON FONTES;4176758;WDGN3102C TN6025;INSERTO;TORNEAMENTO;;KENNAMETAL;10;31,93;19,61;71,77;0;0;319,3;319,3;200;5,102;11/01/2017;;8;0;1;1;35;;
HAGAR;VINHEDO;ANDERSON FONTES;28487;DGTR 25B 3D40 - DIR DGN3;SUPORTE;TORNEAMENTO;;SUPORTES BRASIL;1;150;110;411;0;0;150;150;200;5,102;11/01/2017;;0;0;1;1;35;;
HAGAR;VINHEDO;ANDERSON FONTES;2011832;DNMG15060849 TN8025;INSERTO;TORNEAMENTO;;KENNAMETAL;9;35,32;17,54;70,64;0;0;317,88;317,88;200;5,102;11/01/2017;;8;0;1;1;35;;
NEWFER;JUNDIAÍ;MARCOS PAULO;1793;PORTA PINCA BT 40 X DMC 06 *** USADO *** (L=90MM) (L1=45MM)-30.000RPM (KOJEX);PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;;BASFIX/ BTFIXO;1;623,7;513,74;1582,31;0;0;623,7;623,7;201;5,102;11/01/2017;;0;0;1;1;28;;
NEWFER;JUNDIAÍ;MARCOS PAULO;1289;PINCA DMC06 3,00MM (KOJEX);PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;;BASFIX/ BTFIXO;1;164,92;128,64;396,21;0;0;164,92;164,92;201;5,102;11/01/2017;;0;0;1;1;28;;
NEWFER;JUNDIAÍ;MARCOS PAULO;6153207;VSM490D050Z05S22XN15;SUPORTE;FRESAMENTO;;GCTOOLS;1;453,6;315;945;0;0;453,6;453,6;201;5,102;11/01/2017;;0;0;1;1;28;;
NEWFER;JUNDIAÍ;MARCOS PAULO;5873416;XNPU15T608SRMM WP40PM;INSERTO;FRESAMENTO;;KENNAMETAL;10;45,97;49,32;180,51;0;0;459,7;459,7;201;5,102;11/01/2017;;8;0;1;1;28;;
NEWFER;JUNDIAÍ;MARCOS PAULO;00173C;PORTA PINCA BT 40 X ER-40 (L1=70,00MM) - 12.000RPM;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;;BASFIX/ BTFIXO;10;200;126,4;389,31;0;0;2000;2000;201;5,102;11/01/2017;;0;0;1;1;28;;
NEWFER;JUNDIAÍ;MARCOS PAULO;1834;PORTA PINCA HASTE PARALELA 16,00MM X 150,00MM X DMC 06 (KOJEX);PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;;BASFIX/ BTFIXO;1;489,24;456,63;1406,42;0;0;489,24;489,24;201;5,102;11/01/2017;;0;0;1;1;28;;
NEWFER;JUNDIAÍ;MARCOS PAULO;DMC6200;INATIVO PINÇA DMC06 2,00MM (KOJEX);PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;;BASFIX/ BTFIXO;1;192,65;125,1;385,3;0;0;192,65;192,65;201;5,102;11/01/2017;;0;0;1;1;28;;
NEWFER;JUNDIAÍ;MARCOS PAULO;808;PINCA DMC06 4,00MM (KOJEX);PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;;BASFIX/ BTFIXO;1;164,92;128,11;396,21;0;0;164,92;164,92;201;5,102;11/01/2017;;0;0;1;1;28;;
NEWFER;JUNDIAÍ;MARCOS PAULO;1609;PORTA FRESA FACEAR BT 40 X 22,00MM (L1=100,00MM) - 12.000 RPM;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;;BASFIX/ BTFIXO;1;238,52;180,36;555,5;0;0;238,52;238,52;201;5,102;11/01/2017;;0;0;1;1;28;;
NEWFER;JUNDIAÍ;MARCOS PAULO;40ER160;40ER160M ER D=16;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;;BASFIX/ BTFIXO;1;1;33,69;103,76;0;0;1;1;201;5,102;11/01/2017;;0;0;1;1;28;;
NEWFER;JUNDIAÍ;MARCOS PAULO;1229;PINCA DMC06 5,00MM (KOJEX);PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;;BASFIX/ BTFIXO;1;164,92;128,11;396,21;0;0;164,92;164,92;201;5,102;11/01/2017;;0;0;1;1;28;;
NEWFER;JUNDIAÍ;MARCOS PAULO;1163;PINO FIXACAO BT 40 - 45G - SEM REFRIGERACAO INTERNA;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;;BASFIX/ BTFIXO;2;21,06;18,45;56,82;0;0;42,12;42,12;201;5,102;11/01/2017;;0;0;1;1;28;;
CARDANHA USINAGEM;VARZEA PAULISTA;ANDERSON FONTES;5826028;40040500T013 RETA 4C 30° D=5X5X50X13;FRESA DE TOPO;FRESAMENTO;;KENNAMETAL;6;60,15;41;150,06;0;0;360,9;360,9;202;5,102;11/01/2017;;8;0;1;1;28;;
GAUBE;VARZEA PAULISTA;MARCOS PAULO;3577940;BDMT11T316ER-ML TN6405 R1,6;INSERTO;FRESAMENTO;;KENNAMETAL;10;36;58,74;180,92;0;0;360;360;203;5,102;11/01/2017;;8;0;1;1;28;;
FEMES;VARZEA PAULISTA;ANDERSON FONTES;4041195;XDMT090308-HX PA120;INSERTO;FRESAMENTO;;KENNAMETAL;60;21;18;55,44;0;0;1260;1260;204;5,102;11/01/2017;;8;0;1;1;28;;
FEMES;VARZEA PAULISTA;ANDERSON FONTES;680D16160;M680D016Z02H15L160 XDMT0903;SUPORTE;FRESAMENTO;;KENNAMETAL;2;10;100;324;0;0;20;20;204;5,102;11/01/2017;;0;0;1;1;28;;
FEMES;VARZEA PAULISTA;ANDERSON FONTES;5530154;FRESA ESFERICA 55HRC 2C D=1.5X3X50 H4;FRESA DE TOPO;FRESAMENTO;;HEINZ TOOLS;1;48,7;28,37;87,39;0;0;48,7;48,7;204;5,102;11/01/2017;;8;0;1;1;28;;
FEMES;VARZEA PAULISTA;ANDERSON FONTES;5873416;XNPU15T608SRMM WP40PM;INSERTO;FRESAMENTO;;KENNAMETAL;10;54;49,32;180,51;0;0;540;540;204;5,102;11/01/2017;;8;0;1;1;28;;
ALUVAL;VARZEA PAULISTA;MARCOS PAULO;3636540;NSR2525M4 W;SUPORTE;TORNEAMENTO;;KENNAMETAL;1;340,26;228,16;684,48;0;0;340,26;340,26;205;5,102;11/01/2017;;0;0;1;1;28;;
ALUVAL;VARZEA PAULISTA;MARCOS PAULO;3607846;NT4RK TN6025;INSERTO;TORNEAMENTO;;KENNAMETAL;10;69,77;35,5;129,93;0;0;697,7;697,7;205;5,102;11/01/2017;;8;0;1;1;28;;
SCORP;SÃO PAULO;ANDERSON FONTES;4041195;XDMT090308-HX PA120;INSERTO;FRESAMENTO;;KENNAMETAL;20;19;18;55,44;0;0;380;380;206;5,102;11/01/2017;;8;0;1;1;28;;
SCORP;SÃO PAULO;ANDERSON FONTES;2317;CHAVE ER-16 - PARA PORCA TIPO T1 (SEXTAVADO);CHAVE;COMPONENTES;;BASFIX/ BTFIXO;1;26.892;22,23;68,46;0;0;26.892;26.892;206;5,405;11/01/2017;;8;0;1;1;28;;
SCORP;SÃO PAULO;ANDERSON FONTES;2316;CHAVE ER-11 - PARA PORCA TIPO T1 (SEXTAVADO);PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;;BASFIX/ BTFIXO;1;26.892;16,34;50,32;0;0;26.892;26.892;206;5,405;11/01/2017;;0;0;1;1;28;;
UFI;VARZEA PAULISTA;MARCOS PAULO;3953941;M690D050Z04SD1204 WBR D=50 Z=4 SDMT1204;SUPORTE;FRESAMENTO;;KENNAMETAL;1;429,3;265;858,6;0;0;429,3;429,3;207;5,102;11/01/2017;;0;0;1;3;30;30;
UFI;VARZEA PAULISTA;MARCOS PAULO;19543;S08K SCLCR 06 - INT DIR CCMT0602;SUPORTE;TORNEAMENTO;;SUPORTES BRASIL;2;129,6;80;240;0;0;259,2;259,2;207;5,102;11/01/2017;;0;0;1;3;30;30;
UFI;VARZEA PAULISTA;MARCOS PAULO;5564597;WOEJ080412SRMM WP25PM;INSERTO;FRESAMENTO;;KENNAMETAL;20;53,7;40,5;124,74;0;0;1074;1074;207;5,102;11/01/2017;;8;0;1;3;30;30;
UFI;VARZEA PAULISTA;MARCOS PAULO;3577936;BDMT11T308ER-ML TN6405 R0,8;INSERTO;FRESAMENTO;;KENNAMETAL;20;39,7;22,91;83,85;0;0;794;794;207;5,102;11/01/2017;;8;0;1;3;30;30;
UFI;VARZEA PAULISTA;MARCOS PAULO;5416546;M370D025Z03H20L180 D=25X180 Z=3 WOEJ0804;SUPORTE;FRESAMENTO;;KENNAMETAL;1;10;250;770;0;0;10;10;207;5,102;11/01/2017;;0;0;1;3;30;30;
UFI;VARZEA PAULISTA;MARCOS PAULO;680025150;M6800D025Z02H25L150 BDMT11T3;SUPORTE;FRESAMENTO;;KENNAMETAL;1;10;167;501;0;0;10;10;207;5,102;11/01/2017;;0;0;1;3;30;30;
UFI;VARZEA PAULISTA;MARCOS PAULO;23477;SER 2020 M22;SUPORTE;TORNEAMENTO;;BLACK TOOLS;1;189,75;126,5;379,5;0;0;189,75;189,75;207;5,102;11/01/2017;;0;0;1;3;30;30;
UFI;VARZEA PAULISTA;MARCOS PAULO;53158;S25R DG3;SUPORTE;TORNEAMENTO;;BLACK TOOLS;1;295,5;206;634,48;0;0;295,5;295,5;207;5,102;11/01/2017;;0;0;1;3;30;30;
UFI;VARZEA PAULISTA;MARCOS PAULO;5883448;XNPU15T616SRMM WP40PM;INSERTO;FRESAMENTO;;KENNAMETAL;5;55.164;31,05;113,64;0;0;275,82;275,82;207;5,102;11/01/2017;;8;0;1;3;30;30;
UFI;VARZEA PAULISTA;MARCOS PAULO;4120195;TPKR1603-PDRMS PA120;INSERTO;FRESAMENTO FLEX;;KENNAMETAL;10;226.994;13,23;48,45;0;0;226.994;226.994;207;5,102;11/01/2017;;8;0;1;3;30;30;
UFI;VARZEA PAULISTA;MARCOS PAULO;3965250;HNPJ090512MM PA120;INSERTO;FRESAMENTO FLEX;;KENNAMETAL;20;58,7;33;99;0;0;1174;1174;207;5,102;11/01/2017;;8;0;1;3;30;30;
UFI;VARZEA PAULISTA;MARCOS PAULO;3339395;SDMT1204PDRMH PA120;INSERTO;FRESAMENTO FLEX;;KENNAMETAL;20;44,7;13,01;50;0;0;894;894;207;5,102;11/01/2017;;8;0;1;3;30;30;
UFI;VARZEA PAULISTA;MARCOS PAULO;5545063;XDPT110408PDSRMM WP40PM R0,8;INSERTO;FRESAMENTO;;KENNAMETAL;20;33;21,71;79,46;0;0;660;660;207;5,102;11/01/2017;;8;0;1;3;30;30;
ALUVAL;VARZEA PAULISTA;MARCOS PAULO;5545063;XDPT110408PDSRMM WP40PM R0,8;INSERTO;FRESAMENTO;;KENNAMETAL;20;37,7;21,71;79,46;0;0;754;754;208;5,102;11/01/2017;;8;0;1;1;28;;
AJITEC;VARZEA PAULISTA;ANDERSON FONTES;5550906;HNPJ0704ANSNGD WP40PM;INSERTO;FRESAMENTO;;KENNAMETAL;40;50,31;28,31;103,61;0;0;2012,4;2012,4;209;5,102;11/01/2017;;8;0;1;1;28;;
AJITEC;VARZEA PAULISTA;ANDERSON FONTES;4178163;M1200D080Z08HN07 D=80 Z=8 M1200 MINI;SUPORTE;FRESAMENTO;;KENNAMETAL;1;10;550;1694;0;0;10;10;209;5,102;11/01/2017;;0;0;1;1;28;;
AJITEC;VARZEA PAULISTA;ANDERSON FONTES;5276364;RNPJ1204M0SMH WP25PM;INSERTO;FRESAMENTO;;KENNAMETAL;10;50;26,17;95,78;0;0;500;500;209;5,102;11/01/2017;;8;0;1;1;28;;
AJITEC;VARZEA PAULISTA;ANDERSON FONTES;808;PINCA DMC06 4,00MM (KOJEX);PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;;BASFIX/ BTFIXO;1;164.915;128,11;396,21;0;0;164.915;164.915;209;5,102;11/01/2017;;0;0;1;1;28;;
NELTEC;VARZEA PAULISTA;W BRASIL;3077753;4777080Z3LT RETA 4C VARIMILL D=8X8X63X16;FRESA DE TOPO;MOLDES E MATRIZES;;KENNAMETAL;2;133,14;89,92;329,11;0;0;266,28;266,28;210;5,102;11/01/2017;;8;0;1;3;45;15;
NELTEC;VARZEA PAULISTA;W BRASIL;3077751;4777100Z4LT RETA 4C VARIMILL D=10X10X72X22;FRESA DE TOPO;FRESAMENTO;;KENNAMETAL;1;164,28;110,91;405,93;0;0;164,28;164,28;210;5,102;11/01/2017;;8;0;1;3;45;15;
NELTEC;VARZEA PAULISTA;W BRASIL;2558754;44315900 PN120 (ROSCA EXTERNA 60º 0,5 A 1,50);INSERTO;ROSQUEAMENTO;;KENNAMETAL;5;30;12,79;46,81;0;0;150;150;210;5,102;11/01/2017;;8;0;1;3;45;15;
FERRAMENTARIA JUNDIAI;JUNDIAÍ;ANDERSON FONTES;5826018;40040200T006 RETA 4C 30° D=2X3X38X6;FRESA DE TOPO;FRESAMENTO;;KENNAMETAL;2;40;26,79;98,05;0;0;80;80;211;5,102;11/01/2017;;8;0;1;1;45;;
FERRAMENTARIA JUNDIAI;JUNDIAÍ;ANDERSON FONTES;680010120;M6800D010Z02H09.8L120 BDMT0703;SUPORTE;FRESAMENTO;;GCTOOLS;1;197,77;115;354,2;0;0;197,77;197,77;211;5,102;11/01/2017;;0;0;1;1;45;;
FERRAMENTARIA JUNDIAI;JUNDIAÍ;ANDERSON FONTES;3247;M6800D012Z02H12L120 BDMT0703;SUPORTE;FRESAMENTO;;GCTOOLS;1;199.585;120;360;0;0;199.585;199.585;211;5,102;11/01/2017;;0;0;1;1;45;;
GUMMI FORM;VINHEDO;ANDERSON FONTES;4143947;VDS201A05300 WU25PD D=5.3 3XD SEM REFRI;BROCA;FURAÇÃO;;KENNAMETAL;4;136.535;93,95;343,86;0;0;546,14;546,14;212;5,405;11/01/2017;;8;0;1;1;28;;
GUMMI FORM;VINHEDO;ANDERSON FONTES;INATIVO 4143955;VDS201A05800 WU25PD D=5,8 3XD SEM REFRI;BROCA;FURAÇÃO;;KENNAMETAL;2;136.535;85,41;312,6;0;0;273,07;273,07;212;5,405;11/01/2017;;8;0;1;1;28;;
GUMMI FORM;VINHEDO;ANDERSON FONTES;4143978;VDS201A07500 WU25PD D=7.5 3XD SEM REFRI;BROCA;FURAÇÃO;;KENNAMETAL;1;149.345;102,78;376,17;0;0;149.345;149.345;212;5,405;11/01/2017;;8;0;1;1;28;;
ASPEM;VINHEDO;ANDERSON FONTES;4166284;VNMG1604042P TN15M;INSERTO;TORNEAMENTO;;KENNAMETAL;10;33,53;19,42;71,08;0;0;335,3;335,3;213;5,102;11/01/2017;;8;0;1;1;28;;
ASPEM;VINHEDO;ANDERSON FONTES;864772;DVJNR 2525 M16 - EXT DIR VNMG1604;SUPORTE;TORNEAMENTO;;BLACK TOOLS;1;243;110;330;0;0;243;243;213;5,102;11/01/2017;;0;0;1;1;28;;
ASPEM;VINHEDO;ANDERSON FONTES;3273854;20SMC080M D=8;PINÇA;FIXAÇÃO;;KENNAMETAL;2;247,2;130,47;391,41;0;0;494,4;494,4;214;5,102;11/01/2017;;0;0;1;1;28;;
ASPEM;VINHEDO;ANDERSON FONTES;PTM2,5X6;PARAFUSO TORX M2,5 X 6;PARAFUSO;COMPONENTES;;SUPORTES BRASIL;20;5;1,5;5,5;0;0;100;100;214;5,405;11/01/2017;;10;0;1;1;28;;
ASPEM;VINHEDO;ANDERSON FONTES;T6;CHAVE T6;CHAVE;COMPONENTES;;HEINZ TOOLS;1;5;2,6;8,8;0;0;5;5;214;5,405;11/01/2017;;8;0;1;1;28;;
ASPEM;VINHEDO;ANDERSON FONTES;T15000;CHAVE TORX 15;CHAVE;COMPONENTES;;HEINZ TOOLS;1;5;4;11,4;0;0;5;5;214;5,405;11/01/2017;;8;0;1;1;28;;
ASPEM;VINHEDO;ANDERSON FONTES;T90000;CHAVE TORX 9;CHAVE;COMPONENTES;;HEINZ TOOLS;1;5;4;11,4;0;0;5;5;214;5,405;11/01/2017;;8;0;1;1;28;;
ASPEM;VINHEDO;ANDERSON FONTES;4120181;TNMX160408-R PA120;INSERTO;TORNEAMENTO FLEX;;KENNAMETAL;10;23,57;8,5;36;0;0;235,7;235,7;214;5,102;11/01/2017;;8;0;1;1;28;;
ASPEM;VINHEDO;ANDERSON FONTES;6172485;VTSFT-TC6518 WP49EG M8X1,25 DIN371 6H C FURO CEGO;MACHO;ROSQUEAMENTO;;KENNAMETAL;3;70,03;74,82;164,33;0;0;210,09;210,09;214;5,102;11/01/2017;;8;0;1;1;28;;
USIVIN;VINHEDO;MARCOS PAULO;1145;PORCA ER-16 T1 - SEXTAVADO;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;;BASFIX/ BTFIXO;2;49,83;24,53;75,55;0;0;99,66;99,66;215;5,102;11/01/2017;;0;0;1;1;28;;
USIVIN;VINHEDO;MARCOS PAULO;4144453;VDS201A12500 WU25PD D=12.5 3XD SEM REFRI;BROCA;FURAÇÃO;;KENNAMETAL;1;548,1;234,03;856,55;0;0;548,1;548,1;215;5,405;11/01/2017;;8;0;1;1;28;;
USIVIN;VINHEDO;MARCOS PAULO;4144501;VDS201A16500 WU25PD D=16.5 3XD SEM REFRI;BROCA;FURAÇÃO;;KENNAMETAL;2;535,15;368,24;1347,76;0;0;1070,3;1070,3;215;5,405;11/01/2017;;8;0;1;1;28;;
USIVIN;VINHEDO;MARCOS PAULO;4144472;VDS201A14200 WU25PD D=14.2 3XD SEM REFRI;BROCA;FURAÇÃO;;KENNAMETAL;1;626,13;278,77;1020,3;0;0;626,13;626,13;215;5,405;11/01/2017;;8;0;1;1;28;;
USIVIN;VINHEDO;MARCOS PAULO;4143998;VDS201A09000 WU25PD D=9.0 3XD SEM REFRI;BROCA;FURAÇÃO;;KENNAMETAL;2;270,69;112,76;412,7;0;0;541,38;541,38;215;5,405;11/01/2017;;8;0;1;1;28;;
USIVIN;VINHEDO;MARCOS PAULO;4144434;VDS201A11000 WU25PD D=11.0 3XD SEM REFRI;BROCA;FURAÇÃO;;KENNAMETAL;1;406,45;149,35;546,62;0;0;406,45;406,45;215;5,405;11/01/2017;;8;0;1;1;28;;
CARDANHA USINAGEM;VARZEA PAULISTA;ANDERSON FONTES;5873416;XNPU15T608SRMM WP40PM;INSERTO;FRESAMENTO;;KENNAMETAL;20;45,97;49,32;180,51;0;0;919,4;919,4;216;5,102;11/01/2017;;8;0;1;1;28;;
CARDANHA USINAGEM;VARZEA PAULISTA;ANDERSON FONTES;6153207;VSM490D050Z05S22XN15;SUPORTE;FRESAMENTO;;GCTOOLS;1;280;315;945;0;0;280;280;216;5,102;11/01/2017;;0;0;1;1;28;;
PADRÃO FERRAMENTARIA;JUNDIAÍ;MARCOS PAULO;4120180;TNMX160404-R PA120;INSERTO;TORNEAMENTO FLEX;;KENNAMETAL;10;19,97;8,5;36;0;0;199,7;199,7;217;5,102;11/01/2017;;8;0;1;1;28;;
PADRÃO FERRAMENTARIA;JUNDIAÍ;MARCOS PAULO;3025707;TNMX160404-L PA120;INSERTO;TORNEAMENTO FLEX;;KENNAMETAL;10;19,97;8,5;36;0;0;199,7;199,7;217;5,102;11/01/2017;;8;0;1;1;28;;
TECNOPACK;VARZEA PAULISTA;MARCOS PAULO;3823;BLOCO MAGNETICO - FORCA SUCCAO 2000KGS (SYT-200A);PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;;BASFIX/ BTFIXO;1;4200;5797,65;17856,76;0;0;4200;4200;218;5,102;11/01/2017;;0;0;1;1;28;;
TECNOPACK;VARZEA PAULISTA;MARCOS PAULO;2743595;FRESA ESFERICA 45HRC 2C D=5X6X76X14 *;FRESA DE TOPO;FRESAMENTO;;KENNAMETAL;1;63;35;105;0;0;63;63;218;5,102;11/01/2017;;8;0;1;1;28;;
TECNOPACK;VARZEA PAULISTA;MARCOS PAULO;5675L;FRESA ESFERICA 45HRC 2C D=5X6X76X14 LONGA;FRESA DE TOPO;FRESAMENTO;;KENNAMETAL;1;68,04;35;113,4;0;0;68,04;68,04;218;5,102;11/01/2017;;8;0;1;1;28;;
TECNOPACK;VARZEA PAULISTA;MARCOS PAULO;FE2;FRESA ESFERICA 55HRC 2C D=2MMX4X4X50 INATIVO;FRESA DE TOPO;FRESAMENTO;;BISSOLE;3;41.796;21;64,68;0;0;125.388;125.388;218;5,102;11/01/2017;;8;0;1;1;28;;
TECNOPACK;VARZEA PAULISTA;MARCOS PAULO;5550204;FRESA TOROIDAL 55HRC 4C D=2X4X50X6 R0.5;FRESA DE TOPO;FRESAMENTO;;HEINZ TOOLS;3;50.544;37,38;115,14;0;0;151.632;151.632;218;5,102;11/01/2017;;8;0;1;1;28;;
TECNOPACK;VARZEA PAULISTA;MARCOS PAULO;688;FRESA TOROIDAL 55HRC 4C D=2X4X75X6 R0.5;FRESA DE TOPO;FRESAMENTO;;HEINZ TOOLS;3;68,04;35;124,74;0;0;204,12;204,12;218;5,102;11/01/2017;;8;0;1;1;28;;
TECNOPACK;VARZEA PAULISTA;MARCOS PAULO;622;FRESA TOROIDAL 55HRC 4C D=3X3X75X8 R0.5;FRESA DE TOPO;FRESAMENTO;;HEINZ TOOLS;2;68,04;35;118,58;0;0;136,08;136,08;218;5,102;11/01/2017;;8;0;1;1;28;;
CM FERRAMENTARIA;VARZEA PAULISTA;ANDERSON FONTES;5564597;WOEJ080412SRMM WP25PM;INSERTO;FRESAMENTO;;KENNAMETAL;10;55,7;40,5;124,74;0;0;557;557;219;5,102;11/01/2017;;8;0;1;1;28;;
ARES FERRAMENTAL;SÃO PAULO;W BRASIL;3101 - 310300;BROCA 3,00MM DIN 338N HSS;BROCA;FURAÇÃO;;GMF;20;3,45;4,4;13,55;0;0;69;69;220;5,405;11/06/2017;;8;0;1;1;28;;
CM FERRAMENTARIA;VARZEA PAULISTA;ANDERSON FONTES;5826032;40040600T016 RETA 4C 30° D=6X6X50X16;FRESA DE TOPO;FRESAMENTO;;KENNAMETAL;3;67,7;38,47;140,8;0;0;203,1;203,1;221;5,102;11/07/2017;;8;0;1;1;28;;
CM FERRAMENTARIA;VARZEA PAULISTA;ANDERSON FONTES;5826036;40040800T020 RETA 4C 30° D=8X8X50X20;FRESA DE TOPO;FRESAMENTO;;KENNAMETAL;3;81,43;50,47;184,72;0;0;244,29;244,29;221;5,102;11/07/2017;;8;0;1;1;28;;
CM FERRAMENTARIA;VARZEA PAULISTA;ANDERSON FONTES;5826040;40041000T022 RETA 4C 30° D=10X10X72X22;FRESA DE TOPO;FRESAMENTO;;KENNAMETAL;3;124,84;77,37;283,17;0;0;374,52;374,52;221;5,102;11/07/2017;;8;0;1;1;28;;
CM FERRAMENTARIA;VARZEA PAULISTA;ANDERSON FONTES;5550400;FRESA TOROIDAL 55HRC 4C D=4X10X50 H4 R0.5;FRESA DE TOPO;FRESAMENTO;;HEINZ TOOLS;2;50,54;37,38;115,15;0;0;101,08;101,08;221;5,102;11/07/2017;;8;0;1;1;28;;
