Fornecedor;Cidade;Codigo;Item;Prod_Novos;Tipo;SubTipo;QtdEntrada;ValorEntrada;ValorEntradaEstoque;ValorLista;NFEntrada;CFOP;DataEntrada;ICMS;IPI;TipoNota
BASFIX/ BTFIXO;CAXIAS DO SUL;00173C;PORTA PINCA BT 40 X ER-40 (L1=70,00MM) - 12.000RPM;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;3;89;126,4;389,31;25316;5.102*;28/05/2019;;0;0
BASFIX/ BTFIXO;CAXIAS DO SUL;1163;PINO FIXACAO BT 40 - 45G - SEM REFRIGERACAO INTERNA;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;8;13,45;18,45;56,82;25316;5.102*;28/05/2019;;0;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;680D20150;M680D020Z03H19L150 XDMT0903;;SUPORTE;FRESAMENTO;1;105;95;285;25322;5.102*;28/05/2019;;0;0
KENNAMETAL;INDAIATUBA;6153209;VSM490D080Z07S27XN15;;SUPORTE;FRESAMENTO;1;360;405;1247,7;25338;5.102*;29/05/2019;;0;0
KENNAMETAL;INDAIATUBA;6153202;M270BD016A15L170 RH16;;SUPORTE;FRESAMENTO;1;197,98;197,98;858,6;25338;5.102*;29/05/2019;;0;0
KENNAMETAL;INDAIATUBA;2012728;M270BF16 TN2505;;INSERTO;FRESAMENTO;4;56,45;65,82;240,9;25338;5.102*;29/05/2019;;8;0
KENNAMETAL;INDAIATUBA;2495998;706104002RT ESF 2C 30° D=4X6X75X4;;FRESA DE TOPO;FRESAMENTO;1;85,03;97,27;356,01;25338;5.102*;29/05/2019;;8;0
KENNAMETAL;INDAIATUBA;6153210;VSM490D100Z08S32XN15;;SUPORTE;FRESAMENTO;1;300;300;972;25338;5.102*;29/05/2019;;0;0
KENNAMETAL;INDAIATUBA;2877071;WNMG060408-FR TN8135;;INSERTO;TORNEAMENTO FLEX;50;10,98;10,98;40,19;25347;5.102*;30/05/2019;;8;0
KENNAMETAL;INDAIATUBA;4120180;TNMX160404-R PA120;;INSERTO;TORNEAMENTO FLEX;40;9;8,5;36;25347;5.102*;30/05/2019;;8;0
KENNAMETAL;INDAIATUBA;3954913;XDHT090316 PA120;;INSERTO;FRESAMENTO;100;11,32;11,32;40;25362;5.102*;31/05/2019;;8;0
GCTOOLS;INDAIATUBA;6153207;VSM490D050Z05S22XN15;;SUPORTE;FRESAMENTO;2;250;315;945;25413;5.102*;06/03/2019;;0;0
BASFIX/ BTFIXO;CAXIAS DO SUL;00173C;PORTA PINCA BT 40 X ER-40 (L1=70,00MM) - 12.000RPM;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;10;89;126,4;389,31;25413;5.102*;06/03/2019;;0;0
KENNAMETAL;INDAIATUBA;6153202;M270BD016A15L170 RH16;;SUPORTE;FRESAMENTO;1;197,98;197,98;858,6;25413;5.102*;06/03/2019;;0;0
KENNAMETAL;INDAIATUBA;2012728;M270BF16 TN2505;;INSERTO;FRESAMENTO;5;56,45;65,82;240,9;25413;5.102*;06/03/2019;;8;0
KENNAMETAL;INDAIATUBA;4041195;XDMT090308-HX PA120;;INSERTO;FRESAMENTO;150;8,3;18;55,44;25414;5.102*;06/03/2019;;8;0
BASFIX/ BTFIXO;CAXIAS DO SUL;1991;PORTA FRESA FACEAR BT 40 X 22,00MM (L1= 45,00MM) - 12.000RPM;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;1;115,82;156,63;482,42;25428;5.102*;06/05/2019;;0;0
KENNAMETAL;INDAIATUBA;4170522;TNMG160408UR WP25CT;;INSERTO;TORNEAMENTO;10;8,2;17,39;63,65;25428;5.102*;06/05/2019;;8;0
KENNAMETAL;INDAIATUBA;5542627;TCF120412FPV34 WU25CH;;INSERTO;FURAÇÃO;10;28,38;33,1;121,15;25440;5.102*;06/07/2019;;8;0
GCTOOLS;INDAIATUBA;10294;M370D025Z03H20L150 D=25X150 Z=3 WOEJ0804;;SUPORTE;FRESAMENTO;1;200;175;539;25441;5.102*;06/06/2019;;0;0
BASFIX/ BTFIXO;CAXIAS DO SUL;00173C;PORTA PINCA BT 40 X ER-40 (L1=70,00MM) - 12.000RPM;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;5;89,9;126,4;389,31;25441;5.102*;06/06/2019;;0;0
HEINZ TOOLS;DIADEMA;PTM2X5;PARAFUSO TORX M2 X 5;;PARAFUSO;COMPONENTES;20;1,43;1,5;5;25441;5.102*;06/06/2019;;10;0
BASFIX/ BTFIXO;CAXIAS DO SUL;1163;PINO FIXACAO BT 40 - 45G - SEM REFRIGERACAO INTERNA;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;5;13,45;18,45;56,82;25441;5.102*;06/06/2019;;0;0
KENNAMETAL;INDAIATUBA;3484756;70N706002MT RETA 6C 20° X-FEED D=6X6X18X63;;FRESA DE TOPO;FRESAMENTO;1;151,07;234,86;859,59;25441;5.102*;06/06/2019;;8;0
KENNAMETAL;INDAIATUBA;4170522;TNMG160408UR WP25CT;;INSERTO;TORNEAMENTO;10;8,2;17,39;63,65;25456;5,405;06/07/2019;;8;0
KENNAMETAL;INDAIATUBA;4170533;WNMG080408UR WP25CT;;INSERTO;TORNEAMENTO;10;10,55;21,95;80,34;25456;5,405;06/07/2019;;8;0
KENNAMETAL;INDAIATUBA;4148181;VDS202A05200 WU25PD D=5.2 5XD SEM REFRI;;BROCA;FURAÇÃO;1;98,89;117,48;429,98;25456;5,405;06/07/2019;;8;0
KENNAMETAL;INDAIATUBA;4148177;VDS202A05000 WU25PD D=5.0 5XD SEM REFRI;;BROCA;FURAÇÃO;1;98,88;117,48;429,98;25456;5,405;06/07/2019;;8;0
KENNAMETAL;INDAIATUBA;4148148;VDS202A03300 WU25PD D=3.3 5XD SEM REFRI;;BROCA;FURAÇÃO;1;97,14;115,41;422,4;25456;5,405;06/07/2019;;8;0
KENNAMETAL;INDAIATUBA;3955099;GT305079 GM6515 MACHO M4X0,7 HSS-E-PM;;MACHO;ROSQUEAMENTO;2;58,17;77,26;282,77;25456;5,405;06/07/2019;;8;0
KENNAMETAL;INDAIATUBA;5880399;40110600T028 ESF 2C 30° D=6X6X76X28;;FRESA DE TOPO;FRESAMENTO;1;52,99;62,37;228,27;25456;5,405;06/07/2019;;8;0
KENNAMETAL;INDAIATUBA;5826105;40040500T020.. RETA 4C 30° D=5X5X63X20;;FRESA DE TOPO;MOLDES E MATRIZES;2;27,28;41,54;152,04;25456;5,405;06/07/2019;;8;0
KENNAMETAL;INDAIATUBA;5880391;40010300T009 ESF 2C 30° D=3X3X38X9;;FRESA DE TOPO;FRESAMENTO;5;24,34;41,92;153,43;25456;5,405;06/07/2019;;8;0
KENNAMETAL;INDAIATUBA;4120180;TNMX160404-R PA120;;INSERTO;TORNEAMENTO FLEX;10;9;8,5;36;25457;5,405;06/07/2019;;8;0
GMF;DIADEMA;3102 - 321700;BROCA 17,00MM DIN 338N HSS;;BROCA;FURAÇÃO;1;60;132,09;406,83;25473;5.102*;06/10/2019;;8;0
KENNAMETAL;INDAIATUBA;3484757;70N708003MT RETA 6C 20° X-FEED D=8X8X76X24;;FRESA DE TOPO;MOLDES E MATRIZES;1;165,65;278,7;1020,04;25473;5.102*;06/10/2019;;8;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;680D32200;M680D032Z04H25L200 XDMT0903;;SUPORTE;FRESAMENTO;1;200;200;600;25519;5.102*;14/06/2019;;0;0
KENNAMETAL;INDAIATUBA;2269443;TPKR2204-PDRMS PA120;;INSERTO;FRESAMENTO FLEX;10;13,85;14,05;57,79;25571;5.102*;18/06/2019;;8;0
KENNAMETAL;INDAIATUBA;4120180;TNMX160404-R PA120;;INSERTO;TORNEAMENTO FLEX;3;9;8,5;36;25571;5.102*;18/06/2019;;8;0
KENNAMETAL;INDAIATUBA;4176758;WDGN3102C TN6025;;INSERTO;TORNEAMENTO;100;15,86;19,61;71,77;25577;5.102*;18/06/2019;;8;0
KENNAMETAL;INDAIATUBA;3955102;GT305082 GM6515 MACHO M8X1,25 HSS-E-PM;;MACHO;ROSQUEAMENTO;1;72,8;96,7;353,92;25592;5.102*;19/06/2019;;8;0
GCTOOLS;INDAIATUBA;680010120;M6800D010Z02H09.8L120 BDMT0703;;SUPORTE;FRESAMENTO;1;110;115;354,2;25592;5.102*;19/06/2019;;0;0
KENNAMETAL;INDAIATUBA;5577930;TCF150R3SLR25MB D=15MM;;SUPORTE;FURAÇÃO;1;528,64;714,62;2143,86;25592;5.102*;19/06/2019;;0;0
KENNAMETAL;INDAIATUBA;3657765;423004-000120 K30F-DCHP TOR 4C D=12X12X15X50 R0,5 NINA;;FRESA DE TOPO;FRESAMENTO;1;93,4;115,44;422,51;25592;5.102*;19/06/2019;;8;0
KENNAMETAL;INDAIATUBA;6429426;TCF050204BPV38 WU25CH;;INSERTO;FURAÇÃO;5;23,39;27,27;99,81;25592;5.102*;19/06/2019;;8;0
KENNAMETAL;INDAIATUBA;6429459;TCF060203BCV38 WU40PH;;INSERTO;FURAÇÃO;4;23,39;27,27;99,81;25592;5.102*;19/06/2019;;8;0
KENNAMETAL;INDAIATUBA;2109976;12748610700 W  PARA RH16;;PARAFUSO;COMPONENTES;2;13,15;13,15;48,13;25592;5.102*;19/06/2019;;10;0
KENNAMETAL;INDAIATUBA;2225731;TNMG1604085 TN4000;;INSERTO;TORNEAMENTO;80;7,6;12,61;46,15;25593;5.102*;19/06/2019;;8;0
GCTOOLS;INDAIATUBA;680D20Z2;M680D020Z02H19L150 XDMT0903;;SUPORTE;FRESAMENTO FLEX;1;95;95;285;256;5.102*;20/05/2019;;0;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;BAP300D12;BAP300RD12Z01H11L150 APMT1135;;SUPORTE;FRESAMENTO;2;70;100;300;256;5.102*;20/05/2019;;0;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;BAP300D16;BAP300RD16Z02H15L150 APMT1135;;SUPORTE;FRESAMENTO;2;80;120;360;256;5.102*;20/05/2019;;0;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;BAP300D20;BAP300RD20Z03H19L150 APMT1135;;SUPORTE;FRESAMENTO;2;90;140;350;256;5.102*;20/05/2019;;0;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;BAP300D25;BAP300RD25Z03H24L150 APMT1135;;SUPORTE;FRESAMENTO;2;100;160;480;256;5.102*;20/05/2019;;0;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;BAP300D32;BAP300RD32Z04H25L150 APMT1135;;SUPORTE;FRESAMENTO;2;130;220;660;256;5.102*;20/05/2019;;0;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;2021339;M170D025Z03H24L150 RDPX1003;;SUPORTE;FRESAMENTO;2;140;140;420;256;5.102*;20/05/2019;;0;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;3225150;M170D032Z03H25L150 RDPX1003;;SUPORTE;FRESAMENTO;2;150;150;462;256;5.102*;20/05/2019;;0;0
KENNAMETAL;INDAIATUBA;502210;M170D050Z05F22 RDPX1003;;SUPORTE;FRESAMENTO;2;180;180;554,4;256;5.102*;20/05/2019;;0;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;2021361 RD10;M170D052Z05F22 RDPX1003;;SUPORTE;FRESAMENTO;2;180;180;554,4;256;5.102*;20/05/2019;;0;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;630522;M170D063Z05F22 RDPX1003;;SUPORTE;FRESAMENTO;2;190;190;585,2;256;5.102*;20/05/2019;;0;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;252412;M170D025Z02H24L150 RDPX12T3;;SUPORTE;FRESAMENTO;2;140;140;431,2;256;5.102*;20/05/2019;;0;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;3215025;M170D032Z03H25L150 RDPX12T3;;SUPORTE;FRESAMENTO;2;150;150;462;256;5.102*;20/05/2019;;0;0
GCTOOLS;INDAIATUBA;698574;M170D050Z05F22 RDPX12T3;;SUPORTE;FRESAMENTO;2;140;140;431,2;256;5.102*;20/05/2019;;0;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;20213611;M170D052Z05F22 RDPX12T3;;SUPORTE;FRESAMENTO;2;180;180;540;256;5.102*;20/05/2019;;0;0
GCTOOLS;INDAIATUBA;2021343. RD12T3;M170D063Z05F22 RDPX1204;;SUPORTE;FRESAMENTO;2;190;264;792;256;5.102*;20/05/2019;;0;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;30025;M170D080Z06F27 RDPX12T3;;SUPORTE;FRESAMENTO;2;440;220;660;256;5.102*;20/05/2019;;0;0
KENNAMETAL;INDAIATUBA;6429453;TCF120412FPV38 WU25CH;;INSERTO;FURAÇÃO;10;28,38;33,1;121,15;25607;5.102*;24/06/2019;;8;0
KENNAMETAL;INDAIATUBA;6429463;TCF150406FCV38 WU40PH;;INSERTO;FURAÇÃO;10;20,57;23,98;87,77;25607;5.102*;24/06/2019;;8;0
GCTOOLS;INDAIATUBA;VSM490D25XN10;VSM490D025Z03A24XN10L150;;SUPORTE;FRESAMENTO;2;180;187;561;25607;5.102*;24/06/2019;;0;0
KENNAMETAL;INDAIATUBA;3955100;GT305080 GM6515 MACHO M5X0,8 HSS-E-PM;;MACHO;ROSQUEAMENTO;2;60,46;80,31;293,93;25607;5.102*;24/06/2019;;8;0
KENNAMETAL;INDAIATUBA;3965250;HNPJ090512MM PA120;;INSERTO;FRESAMENTO FLEX;100;14,04;33;99;25646;5.102*;27/06/2019;;8;0
BASFIX/ BTFIXO;CAXIAS DO SUL;00173C;PORTA PINCA BT 40 X ER-40 (L1=70,00MM) - 12.000RPM;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;6;89,9;126,4;389,31;25646;5.102*;27/06/2019;;0;0
BASFIX/ BTFIXO;CAXIAS DO SUL;1163;PINO FIXACAO BT 40 - 45G - SEM REFRIGERACAO INTERNA;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;7;13,45;18,45;56,82;25646;5.102*;27/06/2019;;0;0
KENNAMETAL;INDAIATUBA;4170533;WNMG080408UR WP25CT;;INSERTO;TORNEAMENTO;40;10,55;21,95;80,34;25646;5.102*;27/06/2019;;8;0
KENNAMETAL;INDAIATUBA;4041195;XDMT090308-HX PA120;;INSERTO;FRESAMENTO;100;8,3;18;55,44;25646;5.102*;27/06/2019;;8;0
KENNAMETAL;INDAIATUBA;5276364;RNPJ1204M0SMH WP25PM;;INSERTO;FRESAMENTO;100;19,5;26,17;95,78;25646;5.102*;27/06/2019;;8;0
KENNAMETAL;INDAIATUBA;5826020;40040300T009 RETA 4C 30° D=3X3X38X9;;FRESA DE TOPO;FRESAMENTO;1;29,68;34,93;127,84;25704;5.102*;07/03/2019;;8;0
KENNAMETAL;INDAIATUBA;4176760;WDGR3102C6D TN6025;;INSERTO;TORNEAMENTO;10;15,86;19,61;71,77;25704;5.102*;07/03/2019;;8;0
BASFIX/ BTFIXO;CAXIAS DO SUL;1145;PORCA ER-16 T1 - SEXTAVADO;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;1;18,02;25,02;77,06;25704;5.102*;07/03/2019;;0;0
WOLF BRASIL;SÃO PAULO;20958;TPGH090204L YNG151;;INSERTO;TORNEAMENTO;4;29,14;29,14;92,24;25715;5.102*;07/03/2019;;8;0
KENNAMETAL;INDAIATUBA;4120180;TNMX160404-R PA120;;INSERTO;TORNEAMENTO FLEX;10;9;8,5;36;25715;5.102*;07/03/2019;;8;0
KENNAMETAL;INDAIATUBA;4176758;WDGN3102C TN6025;;INSERTO;TORNEAMENTO;100;16,81;19,61;71,77;25715;5.102*;07/03/2019;;8;0
KENNAMETAL;INDAIATUBA;4170522;TNMG160408UR WP25CT;;INSERTO;TORNEAMENTO;57;10;17,39;63,65;25725;5.102*;07/04/2019;;8;0
BASFIX/ BTFIXO;CAXIAS DO SUL;1163;PINO FIXACAO BT 40 - 45G - SEM REFRIGERACAO INTERNA;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;7;13,45;18,45;56,82;25749;5.102*;07/08/2019;;0;0
KENNAMETAL;INDAIATUBA;4081556;3IRAG60K TN6025;;INSERTO;ROSQUEAMENTO;10;13,5;13,5;81,26;25749;5.102*;07/08/2019;;8;0
BASFIX/ BTFIXO;CAXIAS DO SUL;00173C;PORTA PINCA BT 40 X ER-40 (L1=70,00MM) - 12.000RPM;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;7;89,9;126,4;389,31;25749;5.102*;07/08/2019;;0;0
BASFIX/ BTFIXO;CAXIAS DO SUL;3704;PINO ADAPTADOR BT40 PARA ISO 40 (DIN208);;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;1;25,3;32,35;99,63;25765;5.102*;07/11/2019;;0;0
BASFIX/ BTFIXO;CAXIAS DO SUL;1987;SENSOR DE LOCALIZAÇÃO COM BIP E LED;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;1;102,35;141,86;436,92;25765;5.102*;07/11/2019;;0;0
KENNAMETAL;INDAIATUBA;4120195;TPKR1603-PDRMS PA120;;INSERTO;FRESAMENTO FLEX;50;13,23;13,23;48,45;25791;5.102*;15/07/2019;;8;0
BASFIX/ BTFIXO;CAXIAS DO SUL;00173C;PORTA PINCA BT 40 X ER-40 (L1=70,00MM) - 12.000RPM;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;6;89,9;126,4;389,31;25791;5.102*;15/07/2019;;0;0
KENNAMETAL;INDAIATUBA;2555830;RDEX1003MOT PA120;;INSERTO;FRESAMENTO;50;9;9;57,46;25791;5.102*;15/07/2019;;8;0
KENNAMETAL;INDAIATUBA;4148261;VDS202A10300 WU25PD D=10.3 5XD SEM REFRI;;BROCA;FURAÇÃO;2;157,19;186,75;683,51;25791;5.102*;15/07/2019;;8;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;T80000;CHAVE TORX 8;;CHAVE;COMPONENTES;30;3,8;3,8;11,4;2582;5.102*;24/08/2020;;8;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;PTM2,5X6;PARAFUSO TORX M2,5 X 6;;PARAFUSO;COMPONENTES;40;1,5;1,5;5,5;2582;5.102*;24/08/2020;;10;0
KENNAMETAL;INDAIATUBA;4120181;TNMX160408-R PA120;;INSERTO;TORNEAMENTO FLEX;79;9;8,5;36;25835;5.102*;17/07/2019;;8;0
KENNAMETAL;INDAIATUBA;6153211;M1200D050Z05HN07 D=50 Z=5 M1200 MINI;;SUPORTE;FRESAMENTO;2;250;250;770;25848;5.102*;18/07/2019;;0;0
WOLF BRASIL;SÃO PAULO;20957;TBGH060102L YNG151;;INSERTO;TORNEAMENTO;2;20,72;20,72;62,4;25848;5.102*;18/07/2019;;8;0
KENNAMETAL;INDAIATUBA;4041195;XDMT090308-HX PA120;;INSERTO;FRESAMENTO;200;8,3;18;55,44;25877;5.102*;22/07/2019;;8;0
KENNAMETAL;INDAIATUBA;3965250;HNPJ090512MM PA120;;INSERTO;FRESAMENTO FLEX;160;14,04;33;99;25886;5.102*;24/07/2019;;8;0
KENNAMETAL;INDAIATUBA;2564137;CCMT060204 PA120;;INSERTO;TORNEAMENTO FLEX;30;7,56;8,01;29,31;25886;5.102*;24/07/2019;;8;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;MT1603;MT1603 CALÇO TNMG16;;CALÇO;COMPONENTES;10;2,5;4;12;259;5.102*;21/05/2019;;10;0
BLACK TOOLS;CAXIAS DO SUL;19085;F-PINO 5313.021.02 - TNMG16;;PARTES E ACESSORIOS PARA MAQUINAS;COMPONENTES;10;5;24;81,31;259;5.102*;21/05/2019;;0;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;18146;F-C.G.P. 170.38.820 (CJTO GRAMPO PARAFUSO);;FIXAÇÃO;COMPONENTES;5;10;34;102;259;5.102*;21/05/2019;;0;0
GCTOOLS;INDAIATUBA;270121;SUPORTE APKT11T3 D=12 Z1 H11 L120;;SUPORTE;TORNEAMENTO;3;115;115;345;25947;5,101;27/10/2021;;0;0
KENNAMETAL;INDAIATUBA;3954257;M690D125Z09SD1204 WBR D=125 Z=9 SDMT1204;;SUPORTE;FRESAMENTO;3;59,43;59,43;858,6;25960;5.102*;30/07/2019;;0;0
KENNAMETAL;INDAIATUBA;3339395;SDMT1204PDRMH PA120;;INSERTO;FRESAMENTO FLEX;60;10,33;13,01;50;25960;5.102*;30/07/2019;;8;0
KENNAMETAL;INDAIATUBA;3954913;XDHT090316 PA120;;INSERTO;FRESAMENTO;10;11,32;11,32;40;25970;5.102*;31/07/2019;;8;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;680D16200;M680D016Z02H15L200 XDMT0903;;SUPORTE;FRESAMENTO;1;120;120;360;25982;5.102*;28/10/2021;;0;0
KENNAMETAL;INDAIATUBA;4120180;TNMX160404-R PA120;;INSERTO;TORNEAMENTO FLEX;90;9;8,5;36;25983;5.102*;08/01/2019;;8;0
KENNAMETAL;INDAIATUBA;3954913;XDHT090316 PA120;;INSERTO;FRESAMENTO;10;11,32;11,32;40;25983;5.102*;08/01/2019;;8;0
BASFIX/ BTFIXO;CAXIAS DO SUL;00173C;PORTA PINCA BT 40 X ER-40 (L1=70,00MM) - 12.000RPM;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;10;89,9;126,4;389,31;25983;5.102*;08/01/2019;;0;0
BASFIX/ BTFIXO;CAXIAS DO SUL;1163;PINO FIXACAO BT 40 - 45G - SEM REFRIGERACAO INTERNA;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;10;13,45;18,45;56,82;25983;5.102*;08/01/2019;;0;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;680D16150;M680D016Z02H15L150 XDMT0903;;SUPORTE;FRESAMENTO;1;80;85;255;26035;5.102*;08/02/2019;;0;0
KENNAMETAL;INDAIATUBA;3895502;TCP280R4SNF32M W;;BROCA;FURAÇÃO;1;424,3;424,3;1500;26035;5.102*;08/02/2019;;8;0
BASFIX/ BTFIXO;CAXIAS DO SUL;00173C;PORTA PINCA BT 40 X ER-40 (L1=70,00MM) - 12.000RPM;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;6;89,9;126,4;389,31;26039;5.102*;08/02/2019;;0;0
BASFIX/ BTFIXO;CAXIAS DO SUL;1163;PINO FIXACAO BT 40 - 45G - SEM REFRIGERACAO INTERNA;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;6;13,45;18,45;56,82;26039;5.102*;08/02/2019;;0;0
BASFIX/ BTFIXO;CAXIAS DO SUL;4501;JOGO PINCA ER-40 (24 PINCAS - 3 A 26MM) (CAIXA PLASTICO);;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;1;499;818,15;2519,9;26047;5.102*;08/05/2019;;0;0
GMF;DIADEMA;6101 - 106010;MACHO M6 X 1,00MM* MANUAL C/3 PÇS;;MACHO;FURAÇÃO;1;48,18;79,51;244,89;26047;5.102*;08/05/2019;;8;0
GCTOOLS;INDAIATUBA;80421;SUPORTE CNHT0703 D=16 Z2 H15 L150 - 93°;;SUPORTE;TORNEAMENTO;2;127;127;381;26052;5,101;11/09/2021;;0;0
GCTOOLS;INDAIATUBA;190620;SUPORTE CNHT0703 D=20 Z3 H19 L150 - 93°;;SUPORTE;TORNEAMENTO;2;178;178;534;26052;5,101;11/09/2021;;0;0
KENNAMETAL;INDAIATUBA;20959;TPGH110304L YNG151;;INSERTO;TORNEAMENTO;2;31,08;31,08;98,43;26055;5.102*;08/06/2019;;8;0
KENNAMETAL;INDAIATUBA;4144472;VDS201A14200 WU25PD D=14.2 3XD SEM REFRI;;BROCA;FURAÇÃO;2;234,66;278,77;1020,3;26078;5.102*;08/07/2019;;8;0
KENNAMETAL;INDAIATUBA;4176754;WDGR2202C6D TN6025;;INSERTO;TORNEAMENTO;20;16,11;18,44;67,49;26078;5.102*;08/07/2019;;8;0
GCTOOLS;INDAIATUBA;91121;SUPORTE CNHT0703 D=25 Z4 H24 L150 - 93°;;SUPORTE;TORNEAMENTO;2;185;185;555;26091;5,101;11/11/2021;;0;0
KENNAMETAL;INDAIATUBA;5564597;WOEJ080412SRMM WP25PM;;INSERTO;FRESAMENTO;10;26,4;40,5;124,74;26144;5.102*;14/08/2019;;8;0
KENNAMETAL;INDAIATUBA;4148207;VDS202A07000 WU25PD D=7.0 5XD SEM REFRI;;BROCA;FURAÇÃO;1;104,69;124,37;455,19;26144;5.102*;14/08/2019;;8;0
KENNAMETAL;INDAIATUBA;3657765;423004-000120 K30F-DCHP TOR 4C D=12X12X15X50 R0,5 NINA;;FRESA DE TOPO;FRESAMENTO;3;93,4;115,44;422,51;26157;5.102*;14/08/2019;;8;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;DNMG150604-MT;DNMG150604-MT HS8125;;PARTES E ACESSORIOS PARA PORTA FERRAMENTAS;TORNEAMENTO;10;25;25;75;2616;5,102;26/08/2020;;0;0
HEINZ TOOLS;DIADEMA;T15000;CHAVE TORX 15;;CHAVE;COMPONENTES;5;3,8;4;11,4;2616;5,102;26/08/2020;;8;0
KENNAMETAL;INDAIATUBA;3955101;GT305081 GM6515 MACHO M6X1 HSS-E-PM;;MACHO;ROSQUEAMENTO;1;61,1;81,15;297,01;26171;5.102*;15/08/2019;;8;0
BASFIX/ BTFIXO;CAXIAS DO SUL;11ER060;11ER060M D=6;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;5;16,23;20,75;63,91;26211;5.102*;20/08/2019;;0;0
KENNAMETAL;INDAIATUBA;4143907;VDS201A03000 WU25PD D=3.0 3XD SEM REFRI;;BROCA;FURAÇÃO;1;76,38;90,74;332,11;26211;5.102*;20/08/2019;;8;0
KENNAMETAL;INDAIATUBA;4170522;TNMG160408UR WP25CT;;INSERTO;TORNEAMENTO;39;14,64;17,39;63,65;26223;5.102*;20/08/2019;;8;0
BASFIX/ BTFIXO;CAXIAS DO SUL;4181;MORSA HIDRAULICA FIXA ABERT. 300MM (4500KG)-S/B (H-6);;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;1;1730;1730;5667,2;26223;5.102*;20/08/2019;;0;0
KENNAMETAL;INDAIATUBA;4171127;WNMG080408UR WP15CT;;INSERTO;TORNEAMENTO;20;9,7;21,95;80,34;26239;5.102*;22/08/2019;;8;0
KENNAMETAL;INDAIATUBA;4171083;WNMG080404ML WP15CT;;INSERTO;TORNEAMENTO;20;9,7;21,95;80,34;26239;5.102*;22/08/2019;;8;0
KENNAMETAL;INDAIATUBA;4041195;XDMT090308-HX PA120;;INSERTO;FRESAMENTO;101;8,3;18;55,44;26249;5.102*;23/08/2019;;8;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;TM-2B-R1.5S;ESFERICA 2C 55HRC D=3X4X50X6;;PARTES E ACESSORIOS PARA PORTA FERRAMENTAS;FRESAMENTO;3;23,65;23,65;70,95;2629;5.102*;27/08/2020;;0;0
KENNAMETAL;INDAIATUBA;2018284;3IRAG60 TN6025;;INSERTO;ROSQUEAMENTO;10;27,13;31,63;115,77;26291;5.102*;28/08/2019;;8;0
KENNAMETAL;INDAIATUBA;4081556;3IRAG60K TN6025;;INSERTO;ROSQUEAMENTO;7;13,5;13,5;81,26;26291;5.102*;28/08/2019;;8;0
KENNAMETAL;INDAIATUBA;3965250;HNPJ090512MM PA120;;INSERTO;FRESAMENTO FLEX;80;14,04;33;99;26341;5.102*;09/02/2019;;8;0
